INTRPRETE;CàDIGO;TÖTULO;INÖCIO DA LETRA
Adriana Calcanhoto;06822;FICO ASSIM SEM VOCÊ;Avião sem asa fogueira sem brasa
Adriana Marques;02408;AMOR PERFEITO;O vento sopra e leva a solidão e uma
Adryana E A Rapaziada;04458;SÓ FALTAVA VOCÊ;Só faltava você...
Adryana E A Rapaziada;06035;TUDO PASSA;Tudo na vida passa tudo na vida...
Adryana E A Rapaziada;06121;AMOR PRA VALER;Já faz tanto tempo não consigo...
Adryana E A Rapaziada;06257;FIM DE NOITE;Você nunca vai me ver sofrer…
Adryana E A Rapaziada;06294;EU TE AMO (AND I LOVE HER);Foi tanto que eu te amei e não sabia…
Adryana Ribeiro;01490;SAUDADE VEM;O que é que você foi fazer comigo
Adryana Ribeiro;03789;E AGORA ?;E agora como é que eu vou ficar
Aerosmith;04909;I DON'T WANT TO MISS A THING;I could stay awake just to hear you brea...
Aerosmith;04879;CRAZY;Come here baby...
Aerosmith;19876;LIVIN' ON THE EDGE;There's somethin' wrong with the world today
Aerosmith;19165;CRYIN';There was a time when I was so brokenhearted
Aerosmith;19172;DREAM ON;Every time that I look in the mirror
Aerosmith;19505;JANIE'S GOT A GUN;Dum dum dum honey what have you done
Aerosmith;19538;ANGEL;I'm alone yeah I don't know if
Aerosmith;19625;PINK;Pink it's my new obsession 
Aerosmith;19658;JADED;Hey j-j-jaded you got your mama's style
Aerosmith;04678;AMAZING;I get the right ones out...
Afrodisíaco;07621;JA É;Ôh ôh ôh ôh ôh ôh incendeia
Afrodite se Quiser;01434;O QUE QUE ELA TEM QUE EU NÃO TENHO;Não adianta
Agepê;07381;ME LEVA;Tudo nasceu de brincadeira
Agepê;07328;DE AMOR É BOM;Um lindo canto com um gosto de viver
Agepê;07332;DE TODAS AS FORMAS;Me dê a posse do teu corpo
Agepê;01455;LÁ VEM O TREM;Lá vem o trem no passo que o vento vem
Agepê;01535;NINGUEM FAZ AMOR COMO VOCÊ;Se eu perdi a hora não se zangue comi
Agepê;03848;MORO ONDE NÃO MORA NINGUÉM;Moro, onde não mora ninguém
Agepê;03883;MOÇA CRIANÇA;O seu andar tem jeito de moça
Agepê;06454;DEIXA EU TE AMAR;Quero ir na fonte do teu ser…
